applications,reason,Loan_Amount,FICO_SCORE,fico_score_group,Employment_Status,Employment_Sector,Monthly_Gross_Income,Monthly_Housing_Payment,Ever_Bankrupt_or_Foreclose,Lender,Approved
1,4,30000,762,4,3,5,11824,1960,0,1,0
1,1,30000,656,2,3,9,2926,2133,0,2,0
1,3,90000,576,1,3,11,5727,1910,0,1,0
1,3,60000,468,1,3,5,4952,1320,0,2,0
1,4,30000,661,2,3,5,4598,2409,0,1,0
1,3,30000,572,1,3,0,4577,1481,0,1,0
1,6,20000,637,2,2,3,3215,2194,0,1,0
1,5,30000,688,3,2,4,3403,1605,0,1,0
1,2,20000,716,3,3,8,4378,1548,0,1,0
1,1,30000,592,2,3,6,7037,1815,0,1,0
1,2,10000,468,1,1,12,4087,1145,0,2,0
1,1,30000,558,1,3,4,4598,1971,0,1,0
1,1,20000,565,1,2,11,6710,953,0,3,0
1,6,30000,536,1,2,10,2698,1403,0,1,0
1,1,10000,641,2,3,10,6058,1221,0,1,0
1,4,10000,535,1,3,5,5620,1301,0,1,0
1,2,5000,361,1,3,11,4763,1697,0,1,0
1,1,80000,635,2,3,8,9398,2189,0,1,0
1,3,90000,645,2,3,8,8477,2684,0,2,0
1,3,60000,572,1,3,0,5285,2601,0,1,0
1,6,80000,644,2,3,8,5225,1237,0,1,0
1,4,100000,562,1,3,0,4853,1584,0,1,1
1,4,50000,731,3,2,8,2048,1068,0,1,1
1,2,30000,728,3,3,9,7820,935,0,3,0
1,2,90000,563,1,3,6,4833,1854,0,2,0
1,6,30000,540,1,3,3,4151,1827,0,1,0
1,2,10000,750,4,1,12,4336,1914,0,1,1
1,4,20000,627,2,3,4,8473,1543,0,1,0
1,5,10000,754,4,3,6,14608,3080,0,2,1
1,2,10000,554,1,3,7,5710,2314,0,1,0
1,1,40000,594,2,3,6,4683,1295,0,3,0
1,3,80000,559,1,3,0,3958,1463,0,1,0
1,6,90000,586,2,3,5,4027,1595,0,2,0
1,6,100000,701,3,3,2,5266,2389,0,1,0
1,6,30000,698,3,2,7,2990,625,0,1,0
1,4,30000,580,1,3,5,4968,2636,0,1,0
1,3,80000,691,3,3,6,8782,1532,0,2,0
1,3,10000,579,1,2,10,2909,770,0,1,0
1,5,20000,760,4,3,0,7983,2124,0,1,0
1,2,100000,625,2,1,12,2973,2390,0,3,0
1,2,40000,633,2,3,10,4934,1740,0,2,0
1,1,50000,608,2,3,8,4415,2906,0,2,0
1,1,10000,686,3,3,10,7561,1919,0,3,1
1,3,30000,725,3,3,6,5064,1571,0,1,0
1,1,20000,531,1,3,10,4878,2116,0,2,0
1,5,70000,573,1,3,8,3616,2988,0,1,0
1,2,80000,646,2,3,6,4594,1235,0,1,0
1,5,60000,373,1,3,4,4102,2228,0,1,0
1,2,10000,743,4,3,5,7834,1860,0,3,1
1,2,90000,746,4,3,4,8244,1866,0,1,1
1,5,90000,591,2,3,6,9162,2308,0,1,0
1,2,100000,563,1,2,1,4807,2926,0,3,0
1,5,100000,606,2,1,12,2047,401,0,2,0
1,6,50000,576,1,2,2,3470,670,0,1,0
1,6,70000,571,1,2,10,3366,1216,0,2,0
1,3,40000,556,1,3,0,4542,2558,0,3,0
1,6,10000,596,2,3,11,6661,835,0,2,0
1,3,50000,731,3,3,7,9006,1368,0,3,1
1,6,30000,575,1,3,5,4108,413,0,2,0
1,5,10000,581,2,2,9,2028,369,0,2,0
1,3,20000,694,3,3,1,4996,1428,0,1,0
1,2,40000,599,2,2,8,2999,1388,0,1,0
1,1,80000,695,3,3,9,7131,1753,0,1,1
1,2,80000,678,3,3,4,7758,1990,0,2,1
1,1,30000,687,3,3,10,7123,2223,0,2,0
1,1,40000,838,5,3,5,14684,1840,0,3,1
1,3,10000,713,3,3,5,8904,2016,0,2,1
1,4,40000,621,2,3,0,7449,1827,0,1,0
1,5,40000,660,2,3,8,5665,1667,0,2,0
1,5,80000,570,1,3,0,4301,1748,0,2,0
1,5,20000,565,1,3,6,4345,1926,0,1,0
1,5,10000,702,3,1,12,2505,1990,1,1,0
1,4,70000,641,2,3,0,5541,1636,0,2,0
1,3,20000,743,4,3,7,7825,2253,0,3,1
1,5,20000,616,2,3,5,5446,2795,0,2,0
1,3,20000,618,2,3,0,4851,2366,0,1,0
1,5,10000,614,2,3,5,4193,1647,0,1,0
1,1,50000,650,2,2,4,2055,453,1,1,0
1,3,70000,709,3,3,2,6222,2043,0,2,0
1,3,10000,785,4,2,11,3061,828,0,3,1
1,4,5000,644,2,3,10,8995,2119,0,1,0
1,3,30000,597,2,3,10,6599,754,0,3,0
1,2,20000,763,4,3,8,6837,1446,0,1,0
1,4,60000,660,2,2,7,3392,2052,0,2,0
1,3,20000,554,1,3,5,4407,1884,0,2,0
1,5,100000,600,2,1,12,2274,1974,0,3,0
1,6,5000,724,3,3,4,7941,1241,0,2,0
1,1,90000,502,1,3,0,4569,1931,0,2,0
1,1,90000,664,2,3,4,9954,2278,0,3,1
1,1,80000,767,4,3,4,11078,1690,0,1,0
1,2,10000,672,3,3,8,8841,1314,0,1,0
1,1,5000,681,3,3,10,8724,1197,0,1,0
1,3,40000,697,3,3,10,8057,1765,0,2,0
1,6,80000,570,1,3,8,11950,439,0,3,0
1,2,20000,672,3,3,8,7911,2717,0,2,0
1,3,20000,696,3,3,7,7538,1313,0,1,0
1,6,70000,536,1,3,10,3867,2084,0,1,0
1,3,30000,637,2,3,11,4945,1547,0,3,0
1,1,5000,687,3,3,2,5721,1702,0,1,0
1,1,100000,689,3,3,1,7366,1440,0,1,0
1,4,80000,595,2,3,10,3139,2390,0,1,0
1,3,90000,631,2,3,8,4588,1301,0,1,1
1,6,70000,632,2,3,4,4724,3155,0,1,0
1,4,50000,622,2,3,10,7363,1984,0,1,0
1,1,70000,559,1,1,12,4810,972,0,2,0
1,4,20000,731,3,3,5,8047,1990,0,2,1
1,1,70000,711,3,3,2,12473,2476,0,1,0
1,4,70000,675,3,3,2,7943,1883,0,3,0
1,5,50000,708,3,3,9,8558,1887,0,2,0
1,4,60000,484,1,3,9,2816,816,0,3,0
1,3,50000,471,1,2,9,2765,1414,0,2,0
1,2,70000,750,4,2,8,4942,696,0,1,0
1,3,10000,571,1,3,7,7494,1275,0,1,0
1,1,20000,586,2,3,6,12420,1978,1,3,0
1,5,30000,650,2,3,6,5326,890,0,3,1
1,2,30000,715,3,3,7,3970,923,0,1,0
1,4,20000,673,3,3,8,8828,2467,0,2,0
1,1,10000,587,2,1,12,2563,1236,0,3,0
1,5,80000,716,3,3,5,9477,1988,0,1,0
1,3,50000,677,3,2,8,2209,460,0,3,0
1,5,80000,559,1,3,8,13617,1897,0,1,0
1,5,80000,623,2,3,7,4441,2264,0,2,0
1,4,80000,694,3,3,8,4012,1822,0,1,0
1,1,20000,619,2,2,0,2644,1173,0,1,0
1,1,20000,450,1,3,7,3019,2036,0,2,0
1,3,60000,603,2,3,6,5053,814,0,1,0
1,3,60000,366,1,3,7,4260,463,0,3,0
1,6,30000,530,1,3,8,3745,3048,0,3,0
1,3,40000,638,2,3,10,5322,922,0,2,0
1,3,20000,604,2,3,6,5741,1309,0,3,0
1,2,80000,568,1,3,6,5843,715,0,2,0
1,3,70000,677,3,3,10,3636,1724,0,2,0
1,6,20000,743,4,2,8,2539,1568,0,1,0
1,6,100000,615,2,2,8,2260,951,0,2,0
1,6,40000,600,2,3,2,5166,977,0,2,0
1,3,90000,647,2,3,8,4047,1235,0,1,0
1,4,5000,577,1,3,6,4155,1438,0,2,0
1,3,100000,648,2,1,12,2257,1928,1,3,0
1,3,30000,408,1,3,5,5726,1584,0,1,0
1,6,40000,685,3,2,4,3042,1468,0,1,0
1,5,30000,734,3,3,6,8365,1736,0,1,0
1,4,10000,587,2,2,5,2901,616,0,1,0
1,2,20000,706,3,3,4,5095,1156,0,2,0
1,1,10000,575,1,3,9,6121,1917,0,1,0
1,5,30000,744,4,3,5,5351,1512,0,2,1
1,2,90000,711,3,3,7,6889,2365,0,1,0
1,2,70000,484,1,3,9,4243,2213,0,1,0
1,1,80000,652,2,3,2,3132,1630,0,2,0
1,3,30000,764,4,2,8,4568,920,0,1,0
1,1,10000,723,3,3,5,8572,2867,0,2,0
1,4,30000,805,5,3,7,14611,1928,0,1,0
1,5,70000,566,1,3,8,8807,491,0,3,0
1,3,40000,652,2,2,10,2351,1084,0,1,0
1,2,20000,686,3,3,8,2830,2073,0,2,0
1,4,20000,619,2,3,2,5380,2597,0,1,0
1,6,10000,727,3,3,3,10178,1385,0,1,0
1,5,30000,703,3,3,10,5378,2316,0,2,1
1,1,30000,584,2,3,7,4088,1860,0,2,0
1,1,90000,733,3,3,10,5598,1972,0,2,0
1,3,100000,557,1,2,5,4595,970,0,2,0
1,5,20000,629,2,1,12,2692,1402,0,3,0
1,5,20000,552,1,1,12,5404,1187,0,3,0
1,6,10000,703,3,3,7,6577,1761,0,3,0
1,1,5000,676,3,3,8,10291,2908,0,2,0
1,1,60000,584,2,3,5,5644,1691,0,1,0
1,3,20000,587,2,1,12,2553,949,0,3,1
1,2,20000,345,1,2,6,2464,859,0,2,0
1,2,10000,818,5,2,8,2279,1143,0,1,0
1,2,90000,646,2,2,1,3277,446,0,3,0
1,4,50000,577,1,3,10,4338,1812,0,1,0
1,2,50000,616,2,3,0,11734,2633,0,1,0
1,2,30000,677,3,3,8,7760,1542,0,1,0
1,3,5000,671,3,3,6,7939,1911,0,2,0
1,3,10000,557,1,3,5,12330,2973,0,2,0
1,6,40000,609,2,3,8,5314,2178,0,3,0
1,4,10000,496,1,3,10,10629,2066,0,1,0
1,3,50000,785,4,3,11,4717,1613,0,1,0
1,3,50000,642,2,3,10,7276,2628,0,2,0
1,1,40000,613,2,2,7,2520,769,0,3,0
1,1,30000,667,2,3,6,2687,1598,0,2,0
1,2,70000,651,2,2,2,2047,2098,0,1,0
1,2,20000,493,1,3,2,18966,1794,0,1,0
1,3,100000,466,1,3,6,4623,1884,0,1,0
1,1,70000,728,3,3,6,9132,1228,0,1,0
1,4,20000,602,2,3,8,6238,2102,0,2,0
1,1,90000,711,3,1,12,2003,1645,0,1,0
1,5,90000,560,1,3,8,5241,1806,0,1,0
1,1,20000,716,3,3,8,14899,2295,0,1,1
1,1,80000,669,2,2,8,4718,792,0,3,0
1,6,90000,511,1,3,9,2843,753,0,1,0
1,4,10000,714,3,2,10,6596,1615,0,1,0
1,4,30000,651,2,3,8,5035,1761,0,1,0
1,3,10000,540,1,1,12,6508,1497,1,1,0
1,2,50000,597,2,3,9,5374,2722,0,2,0
1,3,10000,713,3,3,6,4769,2253,0,2,0
1,5,20000,568,1,3,6,5910,1324,0,2,0
1,2,5000,669,2,3,2,6027,694,0,3,1
1,2,60000,626,2,3,7,4934,1439,0,1,0
1,3,30000,587,2,3,8,7745,2257,0,1,0
1,3,20000,484,1,2,8,2613,458,0,3,0
1,4,20000,687,3,3,6,4916,1938,0,1,0
1,2,30000,579,1,3,7,10353,2195,0,1,0
1,3,10000,797,4,3,8,19472,1235,0,1,1
1,2,60000,571,1,2,9,3645,2833,0,1,0
1,6,40000,600,2,3,8,5237,1474,0,2,0
1,4,30000,600,2,2,7,2571,2800,0,1,0
1,3,40000,460,1,2,8,3662,919,0,2,0
1,5,10000,673,3,3,7,5939,2200,0,2,1
1,4,30000,561,1,3,4,13826,1691,0,1,0
1,6,90000,734,3,3,8,8789,1997,0,1,0
1,6,20000,612,2,3,8,6479,1042,0,3,0
1,5,30000,519,1,3,8,7897,1970,0,3,0
1,6,100000,610,2,3,6,6324,2763,0,2,0
1,5,20000,699,3,2,9,3875,2100,0,1,0
1,3,50000,593,2,3,2,5570,965,0,3,0
1,5,30000,622,2,3,4,2634,1642,0,1,0
1,6,80000,636,2,3,3,8905,2720,0,2,0
1,5,80000,623,2,3,2,2503,1662,0,1,0
1,1,90000,467,1,3,7,2801,1981,0,1,0
1,5,60000,573,1,3,0,4185,2742,0,1,0
1,2,10000,691,3,3,4,5379,2040,0,2,0
1,1,30000,683,3,3,10,7412,991,0,1,0
1,1,60000,653,2,2,4,2952,1647,1,3,0
1,5,50000,482,1,3,9,2564,1460,0,2,0
1,1,20000,592,2,3,7,7155,1588,0,2,0
1,2,60000,646,2,2,8,2499,833,0,2,0
1,5,70000,693,3,3,8,5023,1741,0,1,0
1,5,10000,674,3,3,5,7884,1314,0,1,0
1,1,30000,650,2,3,2,8916,2037,0,3,0
1,4,5000,791,4,3,6,8019,1248,0,1,0
1,4,20000,651,2,3,6,4752,1874,0,3,0
1,3,30000,372,1,3,5,3969,1355,0,2,0
1,1,50000,701,3,2,4,2056,1773,0,1,0
1,2,20000,595,2,3,5,5285,1426,0,1,0
1,6,20000,752,4,3,8,19731,1286,0,1,0
1,3,30000,711,3,3,5,5660,1044,0,1,0
1,3,20000,455,1,3,10,3353,2071,0,1,0
1,1,10000,596,2,3,8,5916,614,0,2,0
1,2,60000,450,1,3,4,2785,1998,0,1,0
1,3,20000,582,2,3,7,8853,1538,0,2,0
1,5,20000,558,1,2,1,2644,3163,0,1,1
1,3,30000,675,3,3,10,4264,965,0,3,0
1,1,20000,605,2,3,7,5025,1364,0,3,0
1,2,30000,445,1,3,10,4331,1284,0,1,0
1,3,100000,560,1,3,8,5593,906,0,1,0
1,2,10000,689,3,3,6,7952,1409,0,1,0
1,1,40000,709,3,3,8,10612,2796,0,2,0
1,2,60000,672,3,2,2,3439,3141,0,1,0
1,2,10000,608,2,3,0,6040,1845,0,1,0
1,1,30000,592,2,3,7,6810,2083,0,2,0
1,4,30000,587,2,2,2,2188,1910,0,1,0
1,6,20000,564,1,3,6,4736,1510,0,2,0
1,3,10000,605,2,3,7,8267,1813,0,1,0
1,2,30000,714,3,3,4,10294,2059,0,2,0
1,1,90000,580,1,2,0,3634,1281,0,1,0
1,5,30000,709,3,3,5,7051,1716,1,3,1
1,3,50000,688,3,2,9,3134,588,0,2,0
1,1,10000,602,2,3,8,11847,2537,0,1,0
1,4,10000,653,2,3,9,7992,1850,0,1,0
1,1,90000,603,2,1,12,2073,2730,0,3,0
1,3,30000,665,2,3,8,3456,1652,0,1,0
1,2,20000,571,1,3,5,4350,1467,0,2,0
1,5,10000,509,1,2,7,2114,1747,0,1,0
1,6,10000,723,3,3,8,7938,454,0,2,0
1,5,20000,562,1,3,6,3968,2390,0,1,0
1,2,20000,571,1,3,5,12426,1878,0,2,0
1,3,40000,675,3,3,10,9334,2521,0,1,1
1,4,60000,746,4,1,12,5243,943,0,2,0
1,1,80000,504,1,3,11,4301,2432,0,1,0
1,5,40000,561,1,2,6,2942,378,0,3,0
1,4,10000,722,3,3,6,8043,2620,0,3,0
1,3,30000,557,1,3,11,5420,1858,0,1,0
1,5,70000,555,1,3,9,5614,2062,0,2,0
1,1,90000,662,2,3,8,7917,885,0,1,0
1,4,80000,705,3,2,2,5226,1972,0,1,0
1,3,20000,654,2,3,9,6720,1478,0,1,0
1,4,70000,632,2,3,6,8750,2559,0,1,0
1,1,80000,561,1,2,8,2775,2880,0,1,0
1,2,20000,666,2,3,0,6010,1972,0,1,0
1,5,20000,660,2,3,7,8145,2818,0,1,0
1,4,10000,627,2,3,7,8126,1834,0,2,0
1,2,20000,637,2,3,5,5636,2843,0,2,0
1,2,30000,750,4,3,10,4475,1993,0,2,0
1,3,50000,679,3,3,5,10311,2783,0,1,0
1,2,5000,709,3,2,1,3387,2952,0,3,1
1,4,10000,632,2,3,6,4270,2250,0,2,0
1,6,10000,744,4,2,6,4994,955,0,3,1
1,3,90000,664,2,1,12,2201,1835,0,3,0
1,3,10000,702,3,3,6,3488,1985,0,1,0
1,3,100000,599,2,3,5,6242,1366,0,1,1
1,1,60000,516,1,3,7,8561,1739,0,1,0
1,5,90000,772,4,2,9,5191,675,0,1,0
1,3,20000,598,2,2,8,3028,1635,0,2,0
1,5,10000,637,2,3,6,5136,2855,0,2,0
1,3,30000,667,2,3,8,3992,686,0,3,1
1,5,70000,558,1,2,0,3634,1993,0,1,0
1,3,20000,689,3,3,2,6135,1986,0,1,0
1,4,90000,678,3,3,6,8134,2012,0,1,0
1,3,30000,539,1,2,2,2888,1165,0,3,0
1,1,10000,719,3,3,8,6781,1290,0,2,1
1,3,40000,727,3,2,10,4149,1399,0,1,0
1,5,30000,651,2,1,12,2934,543,0,3,0
1,3,10000,555,1,3,2,4854,2064,0,3,0
1,4,20000,815,5,3,4,5826,1572,0,1,1
1,1,40000,716,3,2,1,2175,1894,0,3,0
1,3,20000,514,1,2,8,2519,2777,0,3,0
1,1,20000,731,3,3,1,3565,1169,0,1,0
1,2,30000,577,1,3,5,4503,720,0,3,1
1,5,60000,712,3,3,10,7624,2654,0,1,0
1,1,30000,849,5,3,2,14262,1847,0,3,1
1,2,40000,721,3,3,8,5059,1448,0,1,0
1,3,40000,556,1,3,0,3750,2089,0,2,0
1,5,20000,718,3,3,10,5352,1802,0,1,0
1,6,10000,681,3,3,6,10273,2074,0,1,0
1,2,70000,576,1,2,6,5761,1245,0,3,0
1,3,20000,747,4,3,2,7870,1526,0,2,0
1,4,10000,643,2,2,6,2592,2261,0,2,0
1,3,50000,511,1,2,2,2003,1681,0,2,0
1,5,30000,650,2,3,8,8922,2199,0,2,0
1,5,10000,586,2,3,10,5590,2044,0,2,0
1,4,40000,590,2,3,5,5526,2006,0,2,0
1,1,20000,568,1,3,2,4320,1305,0,2,0
1,5,20000,688,3,3,9,6891,1352,0,1,0
1,4,20000,691,3,3,4,7115,1743,0,1,0
1,5,90000,509,1,3,1,4447,2870,0,2,0
1,1,20000,565,1,3,8,4765,2068,0,1,0
1,5,70000,715,3,3,8,6569,1500,0,1,0
1,6,50000,698,3,3,8,10656,2084,0,1,0
1,3,10000,668,2,3,0,6505,905,0,2,0
1,6,90000,660,2,3,8,4923,1440,0,1,0
1,4,10000,651,2,1,12,3472,1775,0,3,0
1,4,60000,673,3,3,2,4402,2149,0,1,0
1,3,40000,587,2,3,7,8645,1433,0,1,0
1,6,90000,566,1,2,10,2211,846,0,1,0
1,5,70000,620,2,2,9,3315,1242,0,2,0
1,5,20000,416,1,3,6,2846,1926,0,3,0
1,4,20000,699,3,2,0,2645,1708,0,1,0
1,6,60000,652,2,3,9,6401,1363,0,1,0
1,3,30000,576,1,3,10,5177,578,0,3,0
1,3,80000,674,3,3,5,8567,2446,0,1,0
1,2,70000,720,3,3,5,10721,2738,0,2,0
1,3,90000,602,2,3,9,7590,3082,0,3,0
1,1,70000,674,3,3,5,7421,1235,0,2,0
1,5,60000,582,2,3,9,2801,1784,0,1,0
1,1,80000,647,2,3,5,9893,1983,0,1,1
1,3,20000,698,3,3,8,7922,1266,0,1,0
1,3,30000,495,1,3,1,3459,1045,0,1,0
1,1,10000,519,1,3,10,4789,1419,0,1,0
1,4,100000,640,2,3,9,5379,496,0,1,0
1,3,50000,684,3,2,8,2818,1443,0,1,0
1,5,20000,601,2,3,8,6552,2013,0,1,0
1,2,10000,643,2,2,11,2749,1291,0,3,0
1,1,5000,602,2,3,8,4784,713,0,3,0
1,3,40000,840,5,3,11,9313,1632,0,3,1
1,2,100000,701,3,3,7,4798,1576,0,1,0
1,6,30000,691,3,3,8,8462,3002,0,1,0
1,3,50000,588,2,3,7,7647,1020,0,2,0
1,6,30000,661,3,2,1,3757,782,1,2,0
1,5,30000,594,2,2,5,2923,2419,0,1,0
1,1,60000,571,1,3,2,3816,1622,0,1,0
1,5,20000,463,1,2,1,4102,995,0,1,0
1,4,30000,622,2,3,6,7931,1333,0,3,1
1,2,30000,561,1,3,5,3640,1574,0,2,0
1,6,70000,659,2,3,5,9244,2027,0,1,1
1,1,30000,592,2,3,5,4562,1825,0,1,0
1,3,20000,519,1,3,8,5609,685,0,1,0
1,1,5000,599,2,3,6,5307,2003,0,2,0
1,6,20000,656,2,3,5,5634,1327,0,3,0
1,4,30000,560,1,3,9,4547,1973,0,1,0
1,1,10000,425,1,3,5,2817,605,0,1,0
1,5,30000,618,2,1,12,2778,1859,0,3,0
1,1,80000,632,2,3,10,7824,2043,0,1,0
1,3,10000,667,2,3,6,7810,1307,0,3,1
1,6,20000,660,2,1,0,6263,1247,0,3,0
1,4,10000,531,1,3,6,5680,1916,0,1,0
1,4,60000,616,2,3,6,5276,839,0,3,1
1,5,20000,667,2,1,12,2238,1259,0,3,0
1,6,20000,811,5,2,8,2868,1864,0,1,1
1,6,90000,716,3,3,5,7105,1281,0,2,0
1,4,30000,745,4,3,2,12093,1850,0,3,0
1,6,70000,738,3,3,2,8405,3263,0,1,0
1,5,60000,603,2,2,9,2929,1492,0,1,0
1,6,40000,708,3,3,4,6460,1888,0,1,0
1,4,100000,450,1,1,12,4010,579,0,3,0
1,2,90000,544,1,3,6,4843,1511,0,1,0
1,2,40000,378,1,3,8,3098,2479,0,1,0
1,2,20000,445,1,3,8,4750,2787,0,3,0
1,3,10000,571,1,3,10,5728,865,0,1,0
1,6,70000,724,3,3,5,6633,1179,0,1,0
1,4,30000,569,1,1,12,5833,1178,0,1,0
1,2,70000,628,2,3,7,5602,2790,0,2,0
1,3,50000,796,4,3,9,9574,1476,0,1,0
1,2,5000,709,3,3,0,4210,420,0,3,0
1,1,20000,681,3,3,6,6142,1957,0,2,0
1,2,60000,632,2,3,6,5570,771,0,3,0
1,5,70000,648,2,3,1,9734,1956,0,1,0
1,6,30000,715,3,3,5,7688,1187,0,3,1
1,5,50000,604,2,3,2,4919,1505,0,1,0
1,4,10000,752,4,3,8,13299,1855,0,1,0
1,1,20000,711,3,2,7,3326,1839,0,1,0
1,3,20000,499,1,3,4,4475,1538,0,1,0
1,3,90000,621,2,3,10,7822,1402,0,1,0
1,4,50000,505,1,3,0,3655,1408,0,1,0
1,1,30000,616,2,3,8,6165,1430,0,1,0
1,3,30000,555,1,3,1,5267,1921,0,1,0
1,5,10000,506,1,3,4,6402,1904,0,2,0
1,4,60000,749,4,3,7,5760,2055,0,3,1
1,4,40000,730,3,3,1,4555,2332,0,1,0
1,3,70000,635,2,3,7,7911,1866,0,1,0
1,3,40000,732,3,3,7,7804,1407,0,2,0
1,3,40000,553,1,3,9,4034,1928,0,1,0
1,1,40000,718,3,3,5,8535,1397,0,1,0
1,3,70000,445,1,3,5,2583,2036,0,3,0
1,1,20000,697,3,3,10,17319,2276,0,2,0
1,3,20000,686,3,3,8,5971,2534,0,2,0
1,4,30000,694,3,3,5,6033,408,0,3,0
1,6,20000,355,1,1,0,6683,1467,0,2,0
1,1,20000,585,2,2,4,2118,641,0,1,0
1,3,40000,633,2,3,10,4689,1575,0,2,1
1,1,90000,699,3,3,0,5418,1629,0,2,0
1,3,10000,630,2,3,6,7777,1248,0,3,1
1,1,10000,715,3,3,6,8472,952,0,1,0
1,2,20000,582,2,3,4,5172,1556,0,3,0
1,2,20000,589,2,3,7,8446,625,0,2,0
1,6,10000,641,2,3,9,7442,854,0,2,0
1,1,80000,563,1,3,7,4469,1322,0,3,0
1,2,20000,656,2,2,7,3258,1766,0,1,0
1,3,70000,624,2,3,4,6125,1441,0,2,0
1,3,100000,612,2,2,2,2808,1322,0,1,0
1,2,20000,680,3,3,10,10455,709,0,1,0
1,1,40000,710,3,3,9,7166,1938,0,2,0
1,3,50000,599,2,3,5,19949,2313,0,2,0
1,1,20000,821,5,3,7,13621,1383,0,3,1
1,4,100000,628,2,2,10,2485,439,0,3,0
1,2,90000,625,2,3,8,3147,1578,0,2,0
1,2,80000,719,3,2,1,2166,1654,0,3,0
1,2,100000,689,3,3,11,9101,1860,0,3,1
1,4,30000,623,2,3,5,14169,1945,0,1,0
1,3,30000,612,2,3,8,7478,1417,0,1,0
1,5,10000,561,1,3,10,7906,1461,0,1,0
1,4,30000,533,1,3,7,4824,1645,0,1,0
1,1,70000,569,1,3,10,4755,2669,0,1,0
1,5,40000,553,1,3,10,12005,2718,0,2,0
1,1,40000,574,1,3,6,4945,936,0,1,0
1,2,20000,600,2,3,0,6017,1028,0,1,0
1,3,30000,661,2,3,10,6698,1479,0,2,0
1,2,20000,682,3,2,6,5434,1589,0,2,0
1,4,40000,608,2,3,8,5547,1064,0,1,0
1,1,40000,663,2,3,10,3042,1029,0,3,1
1,4,90000,488,1,3,4,4493,1566,0,3,0
1,3,10000,345,1,3,9,2575,482,0,1,0
1,1,30000,523,1,2,5,2500,2824,1,1,0
1,5,100000,554,1,3,11,4166,1537,0,1,0
1,4,30000,589,2,3,5,3406,1568,0,1,0
